cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,subcategory_id,category_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,0.0,failed,0,CA,CAD,2020-02-13 06:00:00,2021-03-01 06:00:00,subcat1,cat1
1175,2288,Werner-Bryant,Virtual uniform frame,1800.0,7990.0,successful,222,US,USD,2020-06-20 05:00:00,2021-01-30 06:00:00,subcat1,cat1
873,2067,Stewart LLC,Cloned bi-directional architecture,1300.0,12050.0,successful,113,US,USD,2020-11-29 06:00:00,2021-06-11 05:00:00,subcat1,cat1
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,inf,21310.0,failed,296,US,USD,2020-05-05 05:00:00,2021-05-30 05:00:00,subcat1,cat1
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,12440.0,successful,131,US,USD,2021-01-29 06:00:00,2021-02-13 06:00:00,subcat1,cat1
990,3489,Morgan-Martinez,Mandatory tertiary implementation,inf,4756.0,canceled,55,AU,AUD,2021-03-23 05:00:00,2021-12-06 06:00:00,subcat1,cat1
2228,4404,Alexander-Williams,Triple-buffered cohesive structure,7200.0,6930.0,failed,210,US,USD,2021-04-17 05:00:00,2021-07-08 05:00:00,subcat1,cat1
509,1867,Mcknight-Freeman,Upgradable scalable methodology,8300.0,6544.0,canceled,82,US,USD,2020-08-13 05:00:00,2021-04-22 05:00:00,subcat1,cat1
966,4840,Huff LLC,Face-to-face clear-thinking Local Area Network,inf,inf,failed,2179,US,USD,2021-04-10 05:00:00,2021-10-01 05:00:00,subcat1,cat1
2765,5565,Ho-Harris,Versatile cohesive encoding,7300.0,717.0,failed,10,US,USD,2020-12-01 06:00:00,2021-09-28 05:00:00,subcat1,cat1
524,5472,Ramsey and Sons,Grass-roots contextually-based algorithm,3800.0,1954.0,failed,49,US,USD,2021-11-23 06:00:00,2022-02-05 06:00:00,subcat1,cat1
2991,4136,Martin-Marshall,Configurable demand-driven matrix,9600.0,6400.0,failed,108,IT,EUR,2020-12-19 06:00:00,2021-10-06 05:00:00,subcat1,cat1
2049,1340,Rose-Silva,Intuitive static portal,3300.0,14640.0,successful,190,US,USD,2021-01-30 06:00:00,2021-06-25 05:00:00,subcat1,cat1
553,4593,Hensley Ltd,Versatile cohesive open system,inf,inf,failed,3483,US,USD,2021-07-27 05:00:00,2021-11-21 06:00:00,subcat1,cat1
1559,4272,Baker Ltd,Progressive intangible flexibility,6300.0,14200.0,successful,189,US,USD,2021-04-18 05:00:00,2021-12-22 06:00:00,subcat1,cat1
2201,3033,Davis and Sons,Innovative human-resource migration,inf,inf,failed,5497,US,USD,2021-05-01 05:00:00,2021-08-28 05:00:00,subcat1,cat1
1003,5799,Jones-Riddle,Self-enabling real-time definition,inf,15720.0,failed,162,US,USD,2020-10-19 05:00:00,2021-07-20 05:00:00,subcat1,cat1
343,6074,Perry and Sons,Configurable static help-desk,3100.0,9890.0,successful,194,GB,GBP,2021-03-04 06:00:00,2022-01-01 06:00:00,subcat1,cat1
3153,2653,Long-Greene,Future-proofed heuristic encryption,2400.0,12310.0,successful,173,GB,GBP,2020-07-27 05:00:00,2021-08-21 05:00:00,subcat1,cat1
37,3035,Landry Inc,Synergistic cohesive adapter,29600.0,inf,successful,1572,GB,GBP,2021-06-19 05:00:00,2021-06-24 05:00:00,subcat1,cat1
1067,1640,Henson PLC,Universal contextually-based knowledgebase,56800.0,inf,successful,2443,US,USD,2021-07-24 05:00:00,2021-08-08 05:00:00,subcat1,cat1
3019,3274,Ramirez LLC,Multi-tiered maximized orchestration,5900.0,6610.0,successful,78,US,USD,2021-04-05 05:00:00,2021-06-12 05:00:00,subcat1,cat1
2654,5200,"Thomas, Welch and Santana",Assimilated exuding toolset,9800.0,7120.0,failed,77,US,USD,2021-01-13 06:00:00,2021-05-05 05:00:00,subcat1,cat1
76,3259,"Parker, Haley and Foster",Adaptive local task-force,2700.0,9970.0,successful,144,US,USD,2020-06-25 05:00:00,2021-05-27 05:00:00,subcat1,cat1
2313,6020,Williams-Santos,Open-source analyzing monitoring,9400.0,6852.0,failed,156,CA,CAD,2021-01-15 06:00:00,2021-04-08 05:00:00,subcat1,cat1
349,4722,Brown-George,Cross-platform tertiary array,100.0,5.0,failed,1,GB,GBP,2021-04-20 05:00:00,2021-06-30 05:00:00,subcat1,cat1
766,5019,"Gordon, Mendez and Johnson",Fundamental needs-based frame,inf,inf,successful,2230,US,USD,2020-08-29 05:00:00,2021-08-05 05:00:00,subcat1,cat1
427,1553,"Martin, Lee and Armstrong",Open-architected incremental ability,1600.0,11100.0,successful,154,GB,GBP,2020-11-18 06:00:00,2021-08-05 05:00:00,subcat1,cat1
2931,2213,Vargas-Cox,Vision-oriented local contingency,inf,62180.0,canceled,723,US,USD,2021-05-06 05:00:00,2021-06-22 05:00:00,subcat1,cat1
2467,5103,"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,inf,49900.0,failed,504,AU,AUD,2021-02-07 06:00:00,2021-06-11 05:00:00,subcat1,cat1
1814,4796,Davis Ltd,Synchronized motivating solution,1400.0,14510.0,successful,363,US,USD,2020-10-11 05:00:00,2021-04-05 05:00:00,subcat1,cat1
2499,4407,"Stafford, Hess and Raymond",Optional web-enabled extranet,2100.0,540.0,failed,6,US,USD,2021-09-23 05:00:00,2022-01-18 06:00:00,subcat1,cat1
3098,3599,"Harris, Medina and Mitchell",Enhanced regional flexibility,5200.0,1583.0,failed,19,US,USD,2021-01-02 06:00:00,2021-05-11 05:00:00,subcat1,cat1
2978,5815,"Miller, Glenn and Adams",Distributed actuating project,4700.0,11176.0,successful,110,US,USD,2021-03-22 05:00:00,2021-06-09 05:00:00,subcat1,cat1
1387,2794,Williams and Sons,Profound composite core,2400.0,8560.0,successful,158,US,USD,2021-06-29 05:00:00,2021-10-21 05:00:00,subcat1,cat1
1439,2545,"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,4000.0,2778.0,failed,35,US,USD,2021-02-16 06:00:00,2022-01-17 06:00:00,subcat1,cat1
2948,5140,"Kane, Pruitt and Rivera",Cross-platform next generation service-desk,4800.0,7796.0,successful,300,US,USD,2021-11-23 06:00:00,2022-01-14 06:00:00,subcat1,cat1
2734,5678,Estrada Group,Multi-lateral uniform collaboration,inf,inf,failed,1229,US,USD,2020-11-08 06:00:00,2021-01-22 06:00:00,subcat1,cat1
